STD_DT2,KOSPI2,VKOSPI,USDKRW,USDKRW_V,CRUDE_F,SPX,VSPX,ROKCDS,KOSPI2_RET,FX_RET,CRUDE_RET,SPX_RET,KOSPI2_RET_AVG,KOSPI2_RET_MIN,KOSPI2_RET_MAX,KOSPI2_RET_AMP,KOSPI2_RET_STD,KOSPI2_RET_SKEW,KOSPI2_RET_SUM,FX_RET_AVG,FX_RET_MIN,FX_RET_MAX,FX_RET_AMP,FX_RET_STD,FX_RET_SKEW,FX_RET_SUM,CRUDE_RET_AVG,CRUDE_RET_MIN,CRUDE_RET_MAX,CRUDE_RET_AMP,CRUDE_RET_STD,CRUDE_RET_SKEW,CRUDE_RET_SUM,SPX_RET_AVG,SPX_RET_MIN,SPX_RET_MAX,SPX_RET_AMP,SPX_RET_STD,SPX_RET_SKEW,SPX_RET_SUM,VSPREAD,VIX_SPREAD
2003-01-03,84.15,34.5,1196.95,8.75,31.85,909.03,25.39,71.667,4.161454459,0.355701001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-06,84.92,33.04,1188.95,8.625,33.08,908.59,24.68,72.0835,0.91087162,-0.670608993,3.789148814,-0.048414961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-07,83.03,33.98,1186.55,8.65,32.1,929.01,24.91,72.5,-2.250764856,-0.202062792,-3.007284002,2.22255557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-08,82.97,33.17,1181,8.4,31.08,922.93,25.13,72.5,-0.07228916,-0.468839954,-3.229150464,-0.656611104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-09,80.04,34.02,1178.5,8.55,30.56,909.93,25.53,75,-3.595258696,-0.211909382,-1.68725612,-1.41857185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-10,79.93,38.05,1178.6,8.45,31.99,927.58,24.25,75,-0.137525808,0.008485003,4.573138966,1.921137066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-13,82.58,37.56,1178.5,8.35,31.68,927.57,24.32,75,3.261626882,-0.008485003,-0.973778702,-0.00107808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-14,82.79,36.75,1171,8.25,32.26,926.26,24.9,75,0.253976069,-0.638435878,1.814250575,-0.141329056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-15,82.52,35.59,1175.4,8.5,32.37,931.66,24.57,75,-0.326659295,0.375043058,0.340399524,0.581296849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-16,82.58,35.86,1173.4,8.375,33.21,918.22,25.51,75,0.072683225,-0.170299769,2.561896745,-1.453092794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-17,80.96,36,1173.45,8.4,33.66,914.6,25.01,77.5,-1.981231492,0.004261031,1.345915337,-0.39502021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-20,80.72,35.97,1173.75,8.5,33.785,908.19,25.355,77.5,-0.296882949,0.025562372,0.370672824,-0.703320341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-21,80.5,36.06,1176,8.1,33.91,901.78,25.7,77.5,-0.272919162,0.191509794,0.369303913,-0.708301994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-22,79.23,36.47,1176.75,7.8,34.61,887.62,27.59,77.5,-1.590216945,0.063755182,2.043270151,-1.58268644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-23,79.57,36.67,1173,7.75,32.85,878.36,29.01,77.5,0.428212241,-0.319183163,-5.219091272,-1.04871911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-24,77.54,36.6,1166.5,8.15,32.25,887.34,27.53,78.75,-2.584320515,-0.555675719,-1.843370169,1.017169103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-27,75.45,38.46,1171,7.775,33.28,861.4,31.51,78.333,-2.732374703,0.385027214,3.143857271,-2.966925079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-28,76.46,36.11,1170.25,7.75,32.29,847.48,34.69,78.333,1.329754305,-0.064068342,-3.019903118,-1.629173246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-29,74.15,36.36,1170,7.475,32.67,858.54,31.93,78.333,-3.067765968,-0.021365239,1.169964084,1.296603199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-30,75.22,35.88,1171.75,7.1,33.63,864.36,31.26,82.5,1.432708446,0.149460901,2.896130014,0.675607654,-0.352846115,-3.595258696,4.161454459,7.756713155,38.87405143,0.421836031,-7.0569223,-0.088606434,-0.670608993,0.385027214,1.055636207,6.088052104,-0.360877431,-1.772128678,0.271905719,-5.219091272,4.573138966,9.792230238,50.48744215,-0.349496997,5.438114373,-0.251943741,-2.966925079,2.22255557,5.189480648,24.66275447,0.095827198,-5.038874824,2.994051434,-6.59724553
